Question_darija_processesd,Answer_darija_processesd,Category
واش الضغط العصبي البسيط كيتعافى بزاف، يعني ف أسفل الظهر كاينة واحد النسبة ديال 10 فالمية، كترجع بحال قبل؟,يمكن يكون بالعلاج الدواوي، وجلسات العلاج الطبيعي، والرياضة,Neurology
سلام. راي كاين واحد المشكل فالعين ديالها ليمنية. كيبان بحال إلا كاين شي خلل فالعين. واش ممكن تشوفها شي طبيب عيون؟,طابعان غادي تمشي عند طبيب الأعصاب,Neurology
واش كاين شي علاج ل التهاب المخيخ؟ شحال ديال الوقت باش يتعافى؟ واش كاين شي فرصة باش يتشافى؟,خاصك تعرف علاش كاينة التهاب المخيخ باش تعرف شنو هو العلاج و شحال ديال الوقت باش يتعالج,Neurology
هبطات ليه ضغط و تقادا من فوق راسو شوية,كايقتارح يدير راديو الأشعة السينية للراس باش يعاوننا نقيمو الحالة ديالك و يوصي بالدوا لي خاصك.,Neurology
توتر عندو رجاف فليدّ و مرّا مرّا كايتقلّع ف لمواقف ديال توتر,أحسن حاجة هي تبعي الحياة هادية وتمركي على تمارين الاسترخاء. إلا بقا الموضوع مستمر، سير لشي جلسات ديال العلاج النفسي.,Neurology
عندي وجع ف راسي من لور و من جيهة ليصر و من ليمين و ضعيف,كانقتارح عليك تشوف شي طبيب أذن و نيف و حلق باش يتأكد من الحالة ديالك ويعالجها,Neurology
واش كاين شي دوا باش تقوي لعضام ديال الصبعا أُ لموستا,باش تقوي الأعصاب خاصك تاخد حقنة ديال فيتامين ب١، ب٦، ب١٢ لمدة عشرة أيام، إبرة فالضل، وخاصك تشاور مع الطبيب ديالك.,Neurology
واش الما اللي كيتسرب من المخ كيسبب الموت، وواش كاين شي علاج نهائي لهاد المرض؟,واش كاتقصد ب لما علا راسّي,Neurology
أنا كايعانيو من نوبات الصرع، الطبيب ديالي عطاني الدوا ديال الدرغبلين، ولكن ماخدامش,كيكون أحسن نبداو ب شي حاجة ساهلة، حسب كيفاش داير الدماغ ديال الواحد، بحال شي دوايات بحال الفالبورال ولا الكارڤومين,Neurology
أنا متزوج و عندي وجع فمنطقة الثدي ديالي بزاف ديال الوقت، شنو اللي كيسبب هاد الشي؟,تقدر تحتاجي لشي واحد يفحص ليك و يراجعك شي طبيب ديال النسا,Neurology
"ستعملت دوا ديال ستيرالين أُ البرازولام شحال ديال لوقت, أُ لقيت راسي كنشوف شي علامات خايبة بزاف, حتى أنني بديت كانحس بالدوخة فاش كانمشي ف الزنقا",خاصك توقف العلاج دابا وتعاود تشوف شي طبيب متخصص,Neurology
الاحتقان المقوي هو مرض نفسي,"عافاك عطينا شي توضيح على شنو كتقصد ب ""الاحتقان المقوي""؟ وشنو كتقصد ب ""neurosis congestion""؟",Neurology
السلام عليكم. واش ممكن ناخد هاد الدوا؟ راه فيه 16 مڭغ و 12.5 مڭغ. واش مزيان ناخدو هاد الدوا باش نحارب مرض الدم اللي كيجي من الدماغ مع القرحة فالمعدة؟,ماكانمنعش ناخد هاد الدوا لناس لي عندهم جلطة وقرحة المعدة,Neurology
كانعاني من رعشة في يدي وكتزيد عليا الحزن ولا القلق ولا الفرحة,إلا كان غير التأثير على الوظيفة، غادي يزيد المرضى من كل أنواع الرعاش القلق والحزن,Neurology
"معايا كيتولاك
وانا البواسير تعبانى بزاف، مش قادر نبقى فايق",كيتولاك مسكن ألم قوي، ولكن خاصك تعرف بلي هادشي ممكن يتستعمل غير للآلام، وخاصك تشاور مع طبيب.,Neurology
باغي يعرف شنو هي الإشارة لي كاينة تما,حسب التقرير، كاين شي واحد فيه شي حاجة بيضا، يمكن تكون وحي ولا شي حاجة خرى. خاصنا نعرفو شنو هوما الأعراض اللي كاينين باش نديرو التحاليل.,Neurology
أنا مبلي باللاريكا. كيفاش غادي نخلص منو؟ واش كاين شي بديل ليه مايكونش مبلي؟,تقدر تعتمد على أقراص ديكلوفين البوتاسيوم 50 ملجم كمسكن قوي للآلام ولكن يقدر يسبب الإدمان,Neurology
شنو هوما أحسن لعلاج ديال الصابا ديال ضهر لي سبب الشلل,الجديد راه كيخدم بالخلايا الجذعية. واخا راه كاين دابا فأوروبا، ولكن قريبا غادي يرجع للبلدان العربية.,Neurology
عندي مشكل فالصدر و عندي وجع فاليد ليمنى,كانقتارح عليك تمشي لشي طبيب نفسي حيت يمكن تحتاج لفحص إضافي بحال التصوير بالرنين المغناطيسي ولا التصوير الإدراكي.,Neurology
واش حقن النيوروتون فعالة؟,الفايسات فيها بزاف د الفيتامينات اللي مفيدة فالحالات ديال التهاب الأعصاب المزمن أولا الحاد، خاصك تشاور مع الطبيب ديالك قبل ما دير هاد الفايسات,Neurology
دكتور خويا، راه كاين انفجار ف الدماغ ديالك و هادشي خلل خلقي، و ماغاديش يتصلح بعد العلاج.,إلا تفركعات كيس الدهون فالدماغ، هادشي ممكن يسبب التهاب السحايا,Neurology
عندي رغبة باش نخرج فالصباح بكري ونمشي نتمشى، خاصة ملي كيكون شي واحد كيعيط عليا ولا كيطلب مني شي حاجة قدام الناس,كيتستعمل علاج إنيدeral ديال 10 مغ فالنهار تلات مرات,Neurology
السلام عليكم. واش ممكن تگول ليا واش الصداع التشنجي يقدر يسبب النزيف فالراس؟ شكرا.,الجلطة الدماغية ماكاتسبرش الصداع التشنجي,Neurology
مريضا ديال سكرع هيا لي ماكايناش فيه تيار ديال الضو ف الدماغ، ولا كاين فيه تيار زايد ف الدماغ؟,مرض الصرع هو ملي كاينة زيادة فالشحنات الكهربائية فالدماغ، وحتى إلا كان شي عدم انتظام فالشحنات الكهربائية.,Neurology
علاش شي ناس كايتقلقو بزاف، شنو اللي مبرزطهم?,حسب العمر، والأمراض لي كاينين، والسباب، كاين بزاف منهم بحال العصبية، والباركينسون، والغدية، والنشاط الزايد ديال الغدة الدرقية، والعاطفية، والعائلية...,Neurology
كتجي عادة ف الجبهة، خاصة فمنطقة الرقبة من لور، كتزيد معا التوتر أُ لعيبا,هاد الصداع راه بسباب انديرال. خود 20 ملجم جوج مرات فالنهار تلت شهور.,Neurology
واش مومكين نعالجو الاستسقاء الدماغي ديال شي كبار بلا ما نديرو ليه شي تدويقا جراحيا,إلى كان الحالة بسيطة، يمكن يتعالجو بالمانيتول تلاتين فالمية. ولكن إلى كانت الحالة متوسطة ولا شديدة، خاص تدخل الجراحة باش يتصفى السيستم.,Neurology
السلام عليكم. عندي 21 عام و حسيت بوخزات فالقلب و ظهرلي كدمة صغيرة فأسفل الركبة و تلاتة د الكدمات الصغار فالكعب ديال اليمين.,واش كاتعاني من لقالاق? واش نعاسك مري dibanding?,Neurology
ولدي عندو مرض فكروني فالعمر ديالو 18 عام وخاصني تقرير طبي باش نعرف شنو واقع. شكرا.,طابعان غادي تلقا التقرير عند الصيديان لي كايعالج النعاس والتوتر فبلادك,Neurology
